date,timestamp,resp_value
2026-02-20,1771546080000,16.0
2026-02-20,1771546200000,15.0
2026-02-20,1771546320000,14.0
2026-02-20,1771546440000,15.0
2026-02-20,1771546560000,14.0
2026-02-20,1771546680000,15.0
2026-02-20,1771546800000,16.0
2026-02-20,1771546920000,15.0
2026-02-20,1771547040000,16.0
2026-02-20,1771547160000,16.0
2026-02-20,1771547280000,15.0
2026-02-20,1771547400000,16.0
2026-02-20,1771547520000,16.0
2026-02-20,1771547640000,17.0
2026-02-20,1771547760000,16.0
2026-02-20,1771547880000,16.0
2026-02-20,1771548000000,15.0
2026-02-20,1771548120000,17.0
2026-02-20,1771548240000,16.0
2026-02-20,1771548360000,15.0
2026-02-20,1771548480000,15.0
2026-02-20,1771548600000,18.0
2026-02-20,1771548720000,15.0
2026-02-20,1771548840000,18.0
2026-02-20,1771548960000,16.0
2026-02-20,1771549080000,14.0
2026-02-20,1771549200000,15.0
2026-02-20,1771549320000,15.0
2026-02-20,1771549440000,14.0
2026-02-20,1771549560000,14.0
2026-02-20,1771549680000,15.0
2026-02-20,1771549800000,15.0
2026-02-20,1771549920000,15.0
2026-02-20,1771550040000,16.0
2026-02-20,1771550160000,15.0
2026-02-20,1771550280000,15.0
2026-02-20,1771550400000,15.0
2026-02-20,1771550520000,15.0
2026-02-20,1771550640000,15.0
2026-02-20,1771550760000,16.0
2026-02-20,1771550880000,13.0
2026-02-20,1771551000000,14.0
2026-02-20,1771551120000,14.0
2026-02-20,1771551240000,14.0
2026-02-20,1771551360000,13.0
2026-02-20,1771551480000,14.0
2026-02-20,1771551600000,14.0
2026-02-20,1771551720000,14.0
2026-02-20,1771551840000,13.0
2026-02-20,1771551960000,14.0
2026-02-20,1771552080000,14.0
2026-02-20,1771552200000,14.0
2026-02-20,1771552320000,15.0
2026-02-20,1771552440000,16.0
2026-02-20,1771552560000,16.0
2026-02-20,1771552680000,14.0
2026-02-20,1771552800000,14.0
2026-02-20,1771552920000,13.0
2026-02-20,1771553040000,14.0
2026-02-20,1771553160000,14.0
2026-02-20,1771553280000,14.0
2026-02-20,1771553400000,14.0
2026-02-20,1771553520000,12.0
2026-02-20,1771553640000,15.0
2026-02-20,1771553760000,12.0
2026-02-20,1771553880000,16.0
2026-02-20,1771554000000,12.0
2026-02-20,1771554120000,13.0
2026-02-20,1771554240000,14.0
2026-02-20,1771554360000,14.0
2026-02-20,1771554480000,13.0
2026-02-20,1771554600000,14.0
2026-02-20,1771554720000,15.0
2026-02-20,1771554840000,17.0
2026-02-20,1771554960000,18.0
2026-02-20,1771555080000,15.0
2026-02-20,1771555200000,16.0
2026-02-20,1771555320000,17.0
2026-02-20,1771555440000,16.0
2026-02-20,1771555560000,16.0
