date,timestamp,hr_value
2026-02-23,1771813680000,64
2026-02-23,1771813800000,63
2026-02-23,1771813920000,65
2026-02-23,1771814040000,69
2026-02-23,1771814160000,65
2026-02-23,1771814280000,65
2026-02-23,1771814400000,70
2026-02-23,1771814520000,68
2026-02-23,1771814640000,71
2026-02-23,1771814760000,73
2026-02-23,1771814880000,68
2026-02-23,1771815000000,65
2026-02-23,1771815120000,64
2026-02-23,1771815240000,65
2026-02-23,1771815360000,64
2026-02-23,1771815480000,64
2026-02-23,1771815600000,65
2026-02-23,1771815720000,68
2026-02-23,1771815840000,64
2026-02-23,1771815960000,66
2026-02-23,1771816080000,65
2026-02-23,1771816200000,66
2026-02-23,1771816320000,67
2026-02-23,1771816440000,67
2026-02-23,1771816560000,65
2026-02-23,1771816680000,64
2026-02-23,1771816800000,62
2026-02-23,1771816920000,65
2026-02-23,1771817040000,63
2026-02-23,1771817160000,63
2026-02-23,1771817280000,63
2026-02-23,1771817400000,65
2026-02-23,1771817520000,64
2026-02-23,1771817640000,66
2026-02-23,1771817760000,65
2026-02-23,1771817880000,64
2026-02-23,1771818000000,65
2026-02-23,1771818120000,64
2026-02-23,1771818240000,63
2026-02-23,1771818360000,62
2026-02-23,1771818480000,63
2026-02-23,1771818600000,62
2026-02-23,1771818720000,62
2026-02-23,1771818840000,61
2026-02-23,1771818960000,61
2026-02-23,1771819080000,63
2026-02-23,1771819200000,62
2026-02-23,1771819320000,62
2026-02-23,1771819440000,62
2026-02-23,1771819560000,63
2026-02-23,1771819680000,62
2026-02-23,1771819800000,62
2026-02-23,1771819920000,62
2026-02-23,1771820040000,61
2026-02-23,1771820160000,61
2026-02-23,1771820280000,62
2026-02-23,1771820400000,70
2026-02-23,1771820520000,65
2026-02-23,1771820640000,64
2026-02-23,1771820760000,64
2026-02-23,1771820880000,65
2026-02-23,1771821000000,69
2026-02-23,1771821120000,67
2026-02-23,1771821240000,63
2026-02-23,1771821360000,64
2026-02-23,1771821480000,62
2026-02-23,1771821600000,63
2026-02-23,1771821720000,61
2026-02-23,1771821840000,62
2026-02-23,1771821960000,61
2026-02-23,1771822080000,62
2026-02-23,1771822200000,62
2026-02-23,1771822320000,63
2026-02-23,1771822440000,63
2026-02-23,1771822560000,66
2026-02-23,1771822680000,64
2026-02-23,1771822800000,66
2026-02-23,1771822920000,67
2026-02-23,1771823040000,62
2026-02-23,1771823160000,65
2026-02-23,1771823280000,68
2026-02-23,1771823400000,66
2026-02-23,1771823520000,65
2026-02-23,1771823640000,66
2026-02-23,1771823760000,65
2026-02-23,1771823880000,63
2026-02-23,1771824000000,67
2026-02-23,1771824120000,64
2026-02-23,1771824240000,66
2026-02-23,1771824360000,65
2026-02-24,1771889160000,79
2026-02-24,1771889280000,77
2026-02-24,1771889400000,75
2026-02-24,1771889520000,74
2026-02-24,1771889640000,73
2026-02-24,1771889760000,73
2026-02-24,1771889880000,73
2026-02-24,1771890000000,73
2026-02-24,1771890120000,72
2026-02-24,1771890240000,73
2026-02-24,1771890360000,72
2026-02-24,1771890480000,72
2026-02-24,1771890600000,71
2026-02-24,1771890720000,71
2026-02-24,1771890840000,71
2026-02-24,1771890960000,71
2026-02-24,1771891080000,72
2026-02-24,1771891200000,80
2026-02-24,1771891320000,73
2026-02-24,1771891440000,72
2026-02-24,1771891560000,71
2026-02-24,1771891680000,70
2026-02-24,1771891800000,69
2026-02-24,1771891920000,69
2026-02-24,1771892040000,68
2026-02-24,1771892160000,68
2026-02-24,1771892280000,69
2026-02-24,1771892400000,69
2026-02-24,1771892520000,69
2026-02-24,1771892640000,69
2026-02-24,1771892760000,69
2026-02-24,1771892880000,69
2026-02-24,1771893000000,68
2026-02-24,1771893120000,69
2026-02-24,1771893240000,68
2026-02-24,1771893360000,69
2026-02-24,1771893480000,69
2026-02-24,1771893600000,69
2026-02-24,1771893720000,71
2026-02-24,1771893840000,71
2026-02-24,1771893960000,72
2026-02-24,1771894080000,72
2026-02-24,1771894200000,77
2026-02-24,1771894320000,73
2026-02-24,1771894440000,72
2026-02-24,1771894560000,73
2026-02-24,1771894680000,73
2026-02-24,1771894800000,75
2026-02-24,1771894920000,73
2026-02-24,1771895040000,71
2026-02-24,1771895160000,72
2026-02-24,1771895280000,69
2026-02-24,1771895400000,68
2026-02-24,1771895520000,70
2026-02-24,1771895640000,71
2026-02-24,1771895760000,70
2026-02-24,1771895880000,67
2026-02-24,1771896000000,68
2026-02-24,1771896120000,66
2026-02-24,1771896240000,69
2026-02-24,1771896360000,68
2026-02-24,1771896480000,68
2026-02-24,1771896600000,67
2026-02-24,1771896720000,67
2026-02-24,1771896840000,66
2026-02-24,1771896960000,65
2026-02-24,1771897080000,66
2026-02-24,1771897200000,66
2026-02-24,1771897320000,66
2026-02-24,1771897440000,66
2026-02-24,1771897560000,66
2026-02-24,1771897680000,66
2026-02-24,1771897800000,65
2026-02-24,1771897920000,65
2026-02-24,1771898040000,67
2026-02-24,1771898160000,66
2026-02-24,1771898280000,66
2026-02-24,1771898400000,66
2026-02-24,1771898520000,73
2026-02-24,1771898640000,69
2026-02-24,1771898760000,66
2026-02-24,1771898880000,65
2026-02-24,1771899000000,64
2026-02-24,1771899120000,64
2026-02-24,1771899240000,65
2026-02-24,1771899360000,65
2026-02-24,1771899480000,64
2026-02-24,1771899600000,65
2026-02-24,1771899720000,65
2026-02-24,1771899840000,64
2026-02-24,1771899960000,65
2026-02-24,1771900080000,66
2026-02-24,1771900200000,67
2026-02-24,1771900320000,65
2026-02-24,1771900440000,66
2026-02-24,1771900560000,66
2026-02-24,1771900680000,66
2026-02-24,1771900800000,66
2026-02-24,1771900920000,67
2026-02-24,1771901040000,69
2026-02-24,1771901160000,70
2026-02-24,1771901280000,73
2026-02-24,1771901400000,68
2026-02-24,1771901520000,66
2026-02-24,1771901640000,68
2026-02-24,1771901760000,69
2026-02-24,1771901880000,68
2026-02-24,1771902000000,66
2026-02-24,1771902120000,75
2026-02-24,1771902240000,71
2026-02-24,1771902360000,74
2026-02-24,1771902480000,74
2026-02-24,1771902600000,70
2026-02-24,1771902720000,68
2026-02-24,1771902840000,67
2026-02-24,1771902960000,70
2026-02-24,1771903080000,67
2026-02-24,1771903200000,68
2026-02-24,1771903320000,68
2026-02-24,1771903440000,69
2026-02-24,1771903560000,69
2026-02-24,1771903680000,67
2026-02-24,1771903800000,67
2026-02-24,1771903920000,67
2026-02-24,1771904040000,67
2026-02-24,1771904160000,67
2026-02-24,1771904280000,67
2026-02-24,1771904400000,67
2026-02-24,1771904520000,67
2026-02-24,1771904640000,67
2026-02-24,1771904760000,67
2026-02-24,1771904880000,67
2026-02-24,1771905000000,67
2026-02-24,1771905120000,67
2026-02-24,1771905240000,68
2026-02-24,1771905360000,73
2026-02-24,1771905480000,69
2026-02-24,1771905600000,69
2026-02-24,1771905720000,68
2026-02-24,1771905840000,68
2026-02-24,1771905960000,68
2026-02-24,1771906080000,68
2026-02-24,1771906200000,70
2026-02-24,1771906320000,69
2026-02-24,1771906440000,67
2026-02-24,1771906560000,68
2026-02-24,1771906680000,73
2026-02-24,1771906800000,83
2026-02-24,1771906920000,86
2026-02-24,1771907040000,82
2026-02-24,1771907160000,83
2026-02-24,1771907280000,79
2026-02-24,1771907400000,77
2026-02-24,1771907520000,78
2026-02-24,1771907640000,80
2026-02-24,1771907760000,77
2026-02-24,1771907880000,77
2026-02-24,1771908000000,78
2026-02-24,1771908120000,75
2026-02-24,1771908240000,78
2026-02-24,1771908360000,83
2026-02-24,1771908480000,78
2026-02-24,1771908600000,76
2026-02-24,1771908720000,74
2026-02-24,1771908840000,78
2026-02-24,1771908960000,78
2026-02-24,1771909080000,79
2026-02-24,1771909200000,77
2026-02-24,1771909320000,76
2026-02-24,1771909440000,79
2026-02-24,1771909560000,73
2026-02-24,1771909680000,74
2026-02-24,1771909800000,76
2026-02-24,1771909920000,71
2026-02-24,1771910040000,67
2026-02-24,1771910160000,68
2026-02-24,1771910280000,67
2026-02-24,1771910400000,67
2026-02-24,1771910520000,66
2026-02-24,1771910640000,67
2026-02-24,1771910760000,66
2026-02-24,1771910880000,66
2026-02-24,1771911000000,66
2026-02-24,1771911120000,66
2026-02-24,1771911240000,65
2026-02-24,1771911360000,68
2026-02-24,1771911480000,66
2026-02-24,1771911600000,65
2026-02-24,1771911720000,66
2026-02-24,1771911840000,70
2026-02-24,1771911960000,68
2026-02-24,1771912080000,68
2026-02-24,1771912200000,71
2026-02-24,1771912320000,77
2026-02-24,1771912440000,77
2026-02-24,1771912560000,73
2026-02-24,1771912680000,72
2026-02-24,1771912800000,68
2026-02-24,1771912920000,71
2026-02-24,1771913040000,69
2026-02-24,1771913160000,73
2026-02-24,1771913280000,76
2026-02-24,1771913400000,69
2026-02-24,1771913520000,69
2026-02-24,1771913640000,67
2026-02-24,1771913760000,66
2026-02-24,1771913880000,67
2026-02-24,1771914000000,69
2026-02-24,1771914120000,65
2026-02-24,1771914240000,67
2026-02-24,1771914360000,67
2026-02-24,1771914480000,66
2026-02-24,1771914600000,66
2026-02-24,1771914720000,65
